batch,method,forward_ms,backward_ms,together_ms
2,custom,0.03674367904663086,0.5057180833816528,0.45414176940917966
2,compiled,1.0723356628417968,3.054933438301086,3.8611550903320313
2,uncompiled,5.695208129882812,14.897495040893554,19.94049560546875
4,custom,0.03971199989318848,0.899377920627594,0.8605760192871094
4,compiled,1.5405142211914062,3.5492710399627687,4.82427734375
4,uncompiled,6.087381591796875,15.882264661788941,21.24380615234375
8,custom,0.07004608154296875,1.6880249607563018,1.6792457580566407
8,compiled,2.4389808654785154,4.683592643737793,6.620836791992187
8,uncompiled,7.105451049804688,17.426966705322265,23.82060546875
16,custom,0.13091456413269043,3.2639145612716676,3.3157281494140625
16,compiled,4.113856506347656,7.610163192749024,10.117896118164062
16,uncompiled,9.344818115234375,27.317677726745604,36.897109375
32,custom,0.2525881576538086,6.446852807998657,6.586915893554687
32,compiled,7.6567431640625,13.843253135681152,17.692911376953123
32,uncompiled,14.695718994140625,46.80989845275879,60.212763671875
64,custom,0.4960531234741211,13.011272277832031,13.43501708984375
64,compiled,14.174805908203124,25.241262340545653,30.922529296875
64,uncompiled,25.879287109375,85.83025527954102,111.842763671875
