threshold,batch,method,forward_ms,backward_ms,together_ms
1,2,custom,0.03374495983123779,0.5082012802362442,0.45505504608154296
1,4,custom,0.03978399991989136,0.9044524776935577,0.8604032135009766
1,8,custom,0.07003680229187012,1.6961967968940734,1.680240936279297
1,16,custom,0.13135040283203125,3.27764607667923,3.32079345703125
1,32,custom,0.2523958396911621,6.427217593193054,6.585743408203125
1,64,custom,0.49586944580078124,13.03163743019104,13.427471923828126
2,2,custom,0.03308255910873413,0.5072688001394272,0.4543471908569336
2,4,custom,0.04007904052734375,0.9073817598819732,0.8621196746826172
2,8,custom,0.07005983829498291,1.6952988886833191,1.680230712890625
2,16,custom,0.13132287979125976,3.275511362552643,3.3220034790039064
2,32,custom,0.25233407974243166,6.428319025039673,6.581168823242187
2,64,custom,0.49584030151367187,13.018487358093262,13.42363037109375
4,2,custom,0.032847039699554444,2.277112958431244,2.224905242919922
4,4,custom,0.03984224081039429,0.8982502382993698,0.8617890930175781
4,8,custom,0.0700217580795288,1.6857935988903046,1.6793119812011719
4,16,custom,0.13148127555847167,3.263094403743744,3.3219464111328123
4,32,custom,0.25247488021850584,6.412887063026428,6.59265869140625
4,64,custom,0.49581920623779296,13.019586210250855,13.450262451171875
8,2,custom,0.03275424003601074,2.2744835209846497,2.2223164367675783
8,4,custom,0.040187840461730955,4.460022397041321,4.426410217285156
8,8,custom,0.07003520011901855,1.6857590472698212,1.6790719604492188
8,16,custom,0.13159616470336913,3.2621952080726624,3.3219674682617186
8,32,custom,0.2524643135070801,6.412914881706238,6.5927972412109375
8,64,custom,0.49578304290771485,13.024994859695434,13.450609130859375
16,2,custom,0.03276319980621338,2.2689430499076844,2.221318359375
16,4,custom,0.04037856101989746,4.443418860435486,4.410755004882812
16,8,custom,0.07002687931060791,8.735051212310792,8.738646240234376
16,16,custom,0.13119104385375976,3.26390239238739,3.3225726318359374
16,32,custom,0.25233280181884765,6.41473662853241,6.592041015625
16,64,custom,0.49577793121337893,13.026588144302368,13.447164306640625
32,2,custom,0.032776639461517335,2.270756800174713,2.2241107177734376
32,4,custom,0.0399452805519104,4.450740489959717,4.413598327636719
32,8,custom,0.07004703998565674,8.712822399139405,8.692224731445313
32,16,custom,0.13138272285461425,17.3202467918396,17.313203125
32,32,custom,0.2524953651428223,6.458216314315796,6.5967724609375
32,64,custom,0.49604736328125,13.088349447250366,13.454871826171875
